source_workbook,source_sheet,source_row,batch,basket,category,semester,course_code_raw,course_code,course_code_status,course_title_raw,course_title,prerequisite_raw,prerequisite,prerequisite_status,lecture_hours,tutorial_hours,practical_hours,credits
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,20,2023,B5,Specialization Tracks,S7,DATA408/ COMP405,DATA408/COMP405,recorded,SPT-Course #5 Advanced Topics in Deep Learning LTP: 3-0-2/ Cloud &Cognitive Computing LTP: 2-0-4,SPT-Course #5 Advanced Topics in Deep Learning LTP: 3-0-2/ Cloud &Cognitive Computing LTP: 2-0-4,DATA302,DATA302,recorded,,,,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,21,2023,B6,Open/Minor,S3,,,missing_in_source,Minor/Open (#1 Course),Minor/Open (#1 Course),,,not_recorded,4.0,0.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,21,2023,B6,Open/Minor,S7,,,missing_in_source,Minor (#6 Course),Minor (#6 Course),,,not_recorded,4.0,0.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,22,2023,B7,Internship/ Capstone Project,S7,DATA802,DATA802,recorded,Interdisciplinary Project,Interdisciplinary Project,NIL,Nil,explicit_none,0.0,0.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,22,2023,B7,Internship/ Capstone Project,S8,DATA803,DATA803,recorded,Capstone Project/Industrial Internship,Capstone Project/Industrial Internship,NIL,Nil,explicit_none,0.0,0.0,0.0,12.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,24,2023,Total HRS,Internship/ Capstone Project,S1,,,missing_in_source,SEMESTER - I,SEMESTER - I,,,not_recorded,26.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,24,2023,Total HRS,Internship/ Capstone Project,S2,,,missing_in_source,SEMESTER - 2,SEMESTER - 2,,,not_recorded,30.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,24,2023,Total HRS,Internship/ Capstone Project,S3,,,missing_in_source,SEMESTER - 3,SEMESTER - 3,,,not_recorded,29.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,24,2023,Total HRS,Internship/ Capstone Project,S7,,,missing_in_source,SEMESTER - 7,SEMESTER - 7,,,not_recorded,16.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,24,2023,Total HRS,Internship/ Capstone Project,S8,,,missing_in_source,SEMESTER - 8,SEMESTER - 8,,,not_recorded,0.0,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2024,3,2024,B1,Univ Core,S1,UCOR106,UCOR106,recorded,Learning to Learn,Learning to Learn,NIL,Nil,explicit_none,1.0,0.0,2.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2024,3,2024,B1,Univ Core,S2,UCOR105,UCOR105,recorded,Communication and Leadership Skills,Communication and Leadership Skills,NIL,Nil,explicit_none,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2024,3,2024,B1,Univ Core,S3,UCOR205,UCOR205,recorded,Socio Cultural Perspectives on Indian Life-SPIL,Socio Cultural Perspectives on Indian Life-SPIL,NIL,Nil,explicit_none,2.0,1.0,0.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2024,3,2024,B1,Univ Core,S4,UCOR310,UCOR310,recorded,Critical Thinking,Critical Thinking,NIL,Nil,explicit_none,2.0,1.0,0.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2024,4,2024,B1,Univ Core,S1,UCOR104,UCOR104,recorded,Problem Solving with Design Thinking,Problem Solving with Design Thinking,NIL,Nil,explicit_none,1.0,0.0,2.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2024,4,2024,B1,Univ Core,S2,UCOR701,UCOR701,recorded,Community Engagement & Service Experience,Community Engagement & Service Experience,NIL,Nil,explicit_none,0.0,0.0,0.0,1.0
