course_code,course_title,credits,prerequisite,prerequisite_status,batch,source_type,source_sheet,source_row
UCOR205,Socio-Cultural Perspectives on Indian Life,3.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,3
UCOR310,Critical Thinking,3.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,3
UCOR106,Learning to Learn,2.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,4
LAWS101,Fundamentals of Indian Constitution and Human Rights,2.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,4
UCOR104,Problem Solving with Design Thinking,2.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,4
UCOR701,Community Engagement & Service Experience,1.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,5
MATH208,Multivariate Calculus,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,7
MATH203,Probability and Statistics,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,7
MATH209,Linear Algebra,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,7
MTSC211,Sustainable Smart Materials,3.0,MTSC111,recorded,2026,semester_excel,Sem_Spread_DS_2026,8
MATH210,Advanced Statistical Analysis and Research Methods,3.0,MATH203,recorded,2026,semester_excel,Sem_Spread_DS_2026,8
MTSC111,Materials for Smart Devices,3.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,9
COMP133,Design Workshop,3.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,9
DATA103,Programming in Python,3.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,12
COMP201,Data Structures,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,12
COMP202,Theoretical Computer Science,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,12
COMP211,Operating Systems,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,12
COMP206,Microprocessors and Computer Architecture,4.0,"COMP204, COMP207",recorded,2026,semester_excel,Sem_Spread_DS_2026,12
